text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,created_at,in_reply_to_user_id,author_id,id
"@RoboWolf8 @traderjoe_xyz @AnyswapNetwork @avalancheavax WSPP GOOD PROJECTS
      💎BUY AND HOLD💎
🌟HOLDER IS THE WINNER🌟
        🥳🎊TH 2022🎊🥳

#WSPP #GWSPP #AutoBUSD #NFT #NFTs #Wolfible #Wolfangers #GameFI #PlayToEarn #DeFI #YieldFarming #tofuNFT #OpenSea #Binance #Altcoins #Polygon #PancakeSwap #fantom #cryptocurrency https://t.co/ORYL2mWmJb",0,0,0,0,1470920015297888261,2021-12-15T03:45:50.000Z,1345350094174834694,1424240194044055557,1470963282286501893
"ANOTHER ONE
@DefiKingdoms ----&gt; @avalancheavax 
Link 👉🏾https://t.co/mh5iZaJS14 https://t.co/ITaEy27M9e",1,0,6,0,1470962441920167941,2021-12-15T03:42:29.000Z,,1192537915152318466,1470962441920167941
@tezukaTez @sw4g_ct @avalancheavax @SushiSwap joe is a farm n dump token fyi,0,1,6,0,1470576578547662858,2021-12-15T03:38:06.000Z,391474015,1391795570080030725,1470961336590893056
@Colonylab @avalancheavax Is it too late take advantage of the air drops in December if I start staking now?,0,1,0,0,1470430391714697225,2021-12-15T03:37:11.000Z,1420528252494532609,3339581775,1470961107078627332
"@spencernoon @ethereum @0xPolygon @avalancheavax @etherscan @polygonscan @SnowTraceHQ Realtalk right there bruh.
Inviting you as well to #metakingsai presale 1. It is currently ongoing via https://t.co/HKB31zoRIn. They are already doxxed, locked and audited too. 
#NFT",1,1,1,0,1470754854608019466,2021-12-15T03:37:00.000Z,1527806202,1466678032723509257,1470961059989454851
"all your support. Great appreciated.
@BinanceChain
 
@HECO_Chain
 
@FantomFDN
 
@ethereum
 
@0xPolygon
 
@avalancheavax
 
@arbitrum
 
@solana
 
@OECnetwork https://t.co/Q3F2kxGLh8",0,0,0,0,1470960189868175366,2021-12-15T03:33:33.000Z,,1449614420556931072,1470960189868175366
"@iSwapCom all your support. Great appreciated.
@BinanceChain
 
@HECO_Chain
 
@FantomFDN
 
@ethereum
 
@0xPolygon
 
@avalancheavax
 
@arbitrum
 
@solana
 
@OECnetwork",0,0,0,0,1470582737719361545,2021-12-15T03:33:25.000Z,1414011098710216708,1449614420556931072,1470960159161667585
@Fishfinance_io @LuckyUnicornNFT @yayprotocol @avaxholic @Avax_Journal @AVAXDaily @avalancheavax @LuckyNetworkWW @BinanceChain @cz_binance great project. When is it lauched?,0,0,0,0,1470959435614806017,2021-12-15T03:33:13.000Z,1463905680784433166,1390995782199779330,1470960108431544324
@ZimingZeng @sw4g_ct @avalancheavax @SushiSwap It’s the fact that he can’t keep his word. Dani is a snake.,0,0,1,0,1470576578547662858,2021-12-15T03:32:16.000Z,1554751344,1334930560813166592,1470959870383853571
@avaxholic @avalancheavax @traderjoe_xyz @pangolindex @Uniswap @PancakeSwap @dydxprotocol @SpookySwap @CurveFinance @QuickswapDEX $Joe go to the moon,0,0,0,0,1470952529630732292,2021-12-15T03:31:46.000Z,1392040970431074309,1424757643931897856,1470959742742790146
