author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,in_reply_to_user_id,created_at,id,text
1447786725523156996,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T03:28:55.000Z,1448853366067458053,"@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax Users can still get the cheapest rate 
because @CryptoRubic is still looking 
for a #DEX to endorse their network 
interactions. The task is gladly took by 
@SushiSwap!"
1338765617898254337,0,0,0,0,1448773839668891648,1055894724245155841,2021-10-15T03:21:52.000Z,1448851590647980040,"@avalancheavax @AaveAave @paraswap @BenqiFinance @Wonderland_fi Hey Gamers, have you heard about Dexioprotocol? The Pokemon Go of crypto. A Cryptocurrency made for Augmented Reality based gaming. With its own wallet(already released) and gaming app ""Dexi Hunter"" (to be released in future). For more info visit- https://t.co/a3WzBdXteb
Roadmap https://t.co/rKzmaiRaGi"
366237777,0,1,0,0,1448783729569288194,1325398948639600640,2021-10-15T03:18:17.000Z,1448850688637812737,"@Nakamotolisk @0xfoobar @epolynya @avalancheavax 20,000 TPS and then what? That's never gonna be scalable enough for global adoption."
1359146916551000065,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T03:12:06.000Z,1448849135520477195,@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax Cheers for this effort @CryptoRubic and @SushiSwap! We are so much excited to the things you will be bringing especially to the new features you guys are work hard into!
1426055078050361345,0,0,2,0,1448274873382543367,1371170351128924165,2021-10-15T03:10:50.000Z,1448848816820473857,"@LydiaFinance @MaximusFarm @Avalanche_Space @avalancheavax @TodayAvalanche @avalanche_tr @avalanche_fr @avaxholic Thank you.❤️
@Followhelp_2021 
@FollowHelpsy"
1297998873323909120,0,0,1,0,1448801424968663045,956929025645035522,2021-10-15T03:08:14.000Z,1448848160051376148,@RunOnFlux @0xPolygon @avalancheavax @Cardano @cosmos I am very anxious and excited to see the news that I have worked on $Flux #Flux
1447208551395430400,0,0,0,0,1448661132466540556,912539725071777792,2021-10-15T03:06:26.000Z,1448847708702199808,"@gate_io @avalancheavax @TrustSwap @Buffdogecoin is the Buff version of @Dogecoin @MattWallace888 @gate_io @elonmusk 🚀🚀🚀

#Buffdogecoin #Buffdogecoinarmy #Dogeprotector https://t.co/5x3vjmndBJ"
1447208551395430400,0,0,0,0,1448661132466540556,912539725071777792,2021-10-15T03:06:05.000Z,1448847618793041923,"@gate_io @avalancheavax @TrustSwap @Buffdogecoin is the Buff version of @Dogecoin @MattWallace888 @gate_io @elonmusk 🚀🚀🚀

#Buffdogecoin #Buffdogecoinarmy #Dogeprotector https://t.co/BGahTk8Pld"
1424872288747364364,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T03:05:21.000Z,1448847435179065351,"@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax Your third announcement is going to be fantastic. On the Avalancheavex exchange, CryptoRubic will have to glad with SushiSwap. Their integration will be accomplished in three steps. Thank you for providing this information."
1325398948639600640,0,0,0,0,1448783729569288194,1325398948639600640,2021-10-15T03:05:12.000Z,1448847398839652352,@0xfoobar @epolynya @avalancheavax Also rollups are fundamentally more complicated which is never a good thing.
1439262674282434564,0,0,1,0,1448393673427668998,746832882849751044,2021-10-15T03:03:18.000Z,1448846918335930370,"@APYmaxi @avalancheavax give each other everything we have, even our youth"
1445223404072693761,0,0,0,0,1440614446095732748,1440274267933863945,2021-10-15T02:59:48.000Z,1448846039448907779,"@OperonOrigins @avalancheavax I have participated in following the guidelines and rules of this airdrop, I hope that many people will be lucky to get a prize from this airdrop.

@MandraSad 
@mbagolll
@DhifaMaula 
@Heriyanto86
@AbudiToya
👉Everyone join that project"
1325398948639600640,0,2,1,0,1448783729569288194,1356386110847377408,2021-10-15T02:57:27.000Z,1448845446936506370,"@0xfoobar @epolynya @avalancheavax Fragmentation, loss of composability (can't integrate a dapp on one rollup with a dapp on another rollup so easily like you can on mainnet), liquidity fragmentation etc. 

Maybe we will in fact fix those issues, but it seems nontrivial."
1320017812174172160,0,0,1,0,1448845097387266049,1392448360909393921,2021-10-15T02:56:43.000Z,1448845263762706442,@DogemonGoApp . @avalancheavax  get in
1402810804185944066,0,0,0,0,1446522592685293572,1392040970431074309,2021-10-15T02:54:57.000Z,1448844817094619141,"@avaxholic @plateau_finance @avalancheavax @JuMign
@kita_ola
@KamateSioa ok very good"
1325398948639600640,0,3,0,0,1448783729569288194,366237777,2021-10-15T02:54:34.000Z,1448844721317634049,"@FroggyFrogster @0xfoobar @epolynya @avalancheavax Does that apply to Avalanche Consensus? Avalanche claim they can do 20,000 tps. 

What about MINA? MINA won't have the state growth issue bit it may have others."
1392040970431074309,16,1,38,0,1448844714367610882,,2021-10-15T02:54:32.000Z,1448844714367610882,"Latest news update in @avalancheavax ecosystem !!

#AVAX #Avalanche #AvalancheRush #Avaxholicnews https://t.co/EWh6i8GEh5"
1354803802302410757,0,0,0,0,1448274873382543367,1371170351128924165,2021-10-15T02:49:23.000Z,1448843416440229889,"@LydiaFinance @MaximusFarm @Avalanche_Space @avalancheavax @TodayAvalanche @avalanche_tr @avalanche_fr @avaxholic @DC_ivane @BenjDeleon @Staryna25 

Thanks for this awesome opportunity."
927190365672693760,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T02:44:54.000Z,1448842289434927116,@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax Wow! I'm so happy for you @SushiSwap for being 3rd #DEX if the @CryptoRubic . Thank you to the opportunity and to give us freedom to find out the best rates.
1380694095287422982,0,1,0,0,1448775297050972162,1253105421818232832,2021-10-15T02:44:45.000Z,1448842250432155649,@cylwild @avalancheavax @el33th4xor @rogerclu @avaxholic It’s on the C-Chain on https://t.co/bbkPKpzknT :)
616335552,0,4,0,0,1446124312633614345,1440740330043678722,2021-10-15T02:41:06.000Z,1448841331074387973,@morphie_network @AvaXlauncher @avalancheavax @X21_Digital @NGC_Ventures @AU21Capital @EverseCapital @AVAXDaily @ccixglobal Can I stake using trust wallet?
1432379871238389761,0,0,0,0,1448542316587745280,399412477,2021-10-15T02:41:06.000Z,1448841330977751049,@el33th4xor @SoSoCoin @avalancheavax Bifrost is the 'one'
1253105421818232832,0,1,0,0,1448775297050972162,1380694095287422982,2021-10-15T02:40:45.000Z,1448841243409125377,@AvaxCoins @avalancheavax @el33th4xor @rogerclu @avaxholic Is it on the x-chain?
1380694095287422982,0,0,2,0,1448838716487716865,850750301275664386,2021-10-15T02:33:06.000Z,1448839317670055937,@ManishK8227 @avaxholic @avalancheavax @emcs1974 @el33th4xor @CederNets @Ahnor_Block 5% minting reflection and 5% marketplace reflection :)
850750301275664386,0,1,0,0,1448838716487716865,1392040970431074309,2021-10-15T02:32:15.000Z,1448839105438048257,@avaxholic @AvaxCoins @avalancheavax @emcs1974 @el33th4xor @CederNets @Ahnor_Block Any use case of this??
1427183134974504963,0,0,0,0,1446522592685293572,1392040970431074309,2021-10-15T02:31:16.000Z,1448838859429748737,"@avaxholic @plateau_finance @avalancheavax @chou0092
@AnnyChovel
@LLacola geat!"
1392040970431074309,11,1,40,0,1448838716487716865,,2021-10-15T02:30:42.000Z,1448838716487716865,"AVAXCOINS NFT MINTING NOW

Price: 3.5 $AVAX 
Visit https://t.co/azo61lDyUC now to mint 2800 handcrafted @AvaxCoins NFTs exclusively on @avalancheavax with a 5% mint reflection + 5% market reflection! 🤩

#AVAXNFT #NFTs #Avalanche #minting https://t.co/XYkvZTU22b"
1427183134974504963,0,0,0,0,1446522592685293572,1392040970431074309,2021-10-15T02:28:24.000Z,1448838138407886848,"@avaxholic @plateau_finance @avalancheavax @EmiNemLL1
@LkaOran
@Savior04239232 ok very good"
1441400509798121478,0,0,2,0,1448784234764718080,2737762656,2021-10-15T02:23:15.000Z,1448836838488162306,@GambierBolton @avalancheavax @luigidemeo @AvaxApesNFT We are not live yet; stay tuned 👀
