text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,created_at,in_reply_to_user_id,author_id,id
"@TheCryptoLif7 @avalancheavax @ibetyouxyz Great news from IBY, Avalanche 👌",0,0,0,0,1437785709033574400,2021-09-14T20:41:15.000Z,917217800434970624,1355228363628179456,1437879136496783365
"@defitimes @solana_daily @solana @avalancheavax @avalanche_dach @Polkadot Do the best research pls.
$TLOS https://t.co/XBqWUn5Br4",0,0,4,0,1437772031660105730,2021-09-14T20:39:49.000Z,919800944,2227170062,1437878775606231041
"@YetiSwap @avalancheavax @elk_finance Wow, just wow. https://t.co/laRHoiNNlz",0,0,0,0,1437690718731051009,2021-09-14T20:39:12.000Z,1362012533884870657,2678686579,1437878621075644422
"@Coin98Analytics @avalancheavax @dfinity @NEARProtocol @FantomFDN @ElrondNetwork @Algorand @Polkadot @0xPolygon @terra_money @solana @ELRONDNETWORK $eGLD.The blockchain uses Adaptive State Sharding &amp; Secure Proof of Stake.TPS &gt; competitors (including ETH),insanley low fees,scarce monetary policy, 60% of supply staked, terrific mobile app, highly active devs,the Maiar DEX launch is coming in the near future.",1,0,26,0,1437784586642202636,2021-09-14T20:38:20.000Z,1282956858664185856,1261452550148165633,1437878404406251524
@x3ideRaven @avalancheavax @solana @cosmos That tele group you are in is a goldmine for tweetable material,0,0,5,0,1437877664057077761,2021-09-14T20:37:24.000Z,1360003094176759808,836878207051837445,1437878167469953027
@oceanavekid @avalancheavax i can try 👍,0,0,1,0,1437855635194875904,2021-09-14T20:36:48.000Z,55914327,17093305,1437878017372692489
"@Frost_FI @el33th4xor @snowballdefi @DRGNCRYPTOGAMIN @yieldyak_ @elk_finance @avalancheavax @avalabsofficial @pangolindex @jayks17 @AvaxShiitake yaaaas, more stories",0,0,2,0,1437157090477420551,2021-09-14T20:36:03.000Z,1429096589075918857,1391061341872525317,1437877830407307269
"@yesil @avalancheavax Sounds good I’ll try it when I can transfer my coins out of okcoin 

If you hear of any other drops let me know 👌",0,1,1,0,1437855635194875904,2021-09-14T20:36:03.000Z,17093305,55914327,1437877829278961664
".@avalancheavax $AVAX broke. 
.@Solana $SOL broke.  

.@cosmos $ATOM doesn’t break.",18,7,114,0,1437877664057077761,2021-09-14T20:35:24.000Z,,1360003094176759808,1437877664057077761
@oceanavekid @avalancheavax yes some. i trust the team behind. the best avax guys out there.,0,1,1,0,1437855635194875904,2021-09-14T20:35:02.000Z,55914327,17093305,1437877572457668609
