conversation_id,in_reply_to_user_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,text,created_at,author_id
1493397146183233539,1469549866401497089,0,0,5,0,1493398074000953347,@_PeachFun @solana Check out the roadmap on https://t.co/YAlfjm1H82. Lots of angles for this project to run.,2022-02-15T01:33:41.000Z,20015811
1493391671840628738,1493381571793063938,0,0,1,0,1493397924105138184,@Solanablinders @solana @MagicEden_NFT Nice project 🙏🏼,2022-02-15T01:33:05.000Z,1317828146591313922
1493397146183233539,1469549866401497089,0,0,3,0,1493397922926325760,"@_PeachFun @solana Agreed, utility is what people are looking for nowadays especially long term holder.",2022-02-15T01:33:05.000Z,1479707983391068160
1493156368810872838,1454084218368057351,0,0,3,0,1493397903972261889,@getpipcom @solana xxoo@solana,2022-02-15T01:33:00.000Z,1316080160819437571
1493397146183233539,1469549866401497089,0,0,3,0,1493397828478984193,@_PeachFun @solana Looking for new bounty hunters to head to the discord page for references! ✒️📈,2022-02-15T01:32:42.000Z,1446693036096770049
1493397146183233539,1469549866401497089,0,0,4,0,1493397773370068992,@_PeachFun @solana Tipping point here we come !!,2022-02-15T01:32:29.000Z,1067545828984684545
1493397146183233539,1469549866401497089,0,0,3,0,1493397750645411840,@_PeachFun @solana thats right,2022-02-15T01:32:24.000Z,874924582070878209
1493397146183233539,1469549866401497089,0,0,5,0,1493397691174305793,@_PeachFun @solana Mint today!,2022-02-15T01:32:10.000Z,1457223017176592392
1493397146183233539,1469549866401497089,0,0,4,0,1493397687684804611,@_PeachFun @solana Sol ecosystem strong together 🤝,2022-02-15T01:32:09.000Z,892559807793811456
1493377772181467136,951329744804392960,1,1,1,0,1493397586442653698,@solana 99.79 $ after moon,2022-02-15T01:31:45.000Z,1302505743803965442
1493397146183233539,1469549866401497089,0,0,3,0,1493397483812442117,@_PeachFun @solana SOL is the way to go!,2022-02-15T01:31:20.000Z,23708780
1493397146183233539,1469549866401497089,0,0,6,0,1493397437335048193,@_PeachFun @solana Let's gooooo,2022-02-15T01:31:09.000Z,367069518
1493397146183233539,1469549866401497089,3,2,13,0,1493397383480320006,"@_PeachFun @solana Sheesh you guys are hella nice, I feel like most people would keep the code private and sell it off if people wanted them",2022-02-15T01:30:56.000Z,1361525156024373250
