conversation_id,in_reply_to_user_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,text,created_at,author_id
1458786848835309570,1439608646,0,0,0,0,1460017569449062409,@Crypto_Dep @PancakeSwap @safemoon @FEGtoken @cateclub @chainlink @LaunchPoolXYZ @launchzoneann @UNCX_token @terra_money @yooshi_official $CRX cryptex has a good community and soon it will be on the chart #defi #crypto,2021-11-14T22:51:29.000Z,1268218036206567425
1459999347056291843,3010279541,0,0,1,0,1460016571330576385,"@JimmyValue @CryptoEM_2021 @Route2FI Yes, the only and sole way is to burn luna. You can do it yrself from TerraStation app @terra_money",2021-11-14T22:47:31.000Z,1183528763558117377
1459973266739585024,632272628,0,1,2,0,1460015818692042761,"@ChawSiew75 @pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money These are for the lossless pool stakers, it shows you exactly when your tokens unlock, when you connect your wallet.",2021-11-14T22:44:31.000Z,896134658102095872
1459994552601821187,1953841016,0,1,6,0,1460014995165560833,"@Remi_Tetot @danku_r @FreyaJane89 @astroport_fi @terra_money @ErnestasDob introduced me to the power of  cntrl-shift-u on Microsoft edge and now the computer reads white papers to me.

Ty for changing my life and making smooth 🧠 slightly less smooth",2021-11-14T22:41:15.000Z,1413575681649295364
1459918423153160192,1372686987543646209,0,2,0,0,1460014824755240973,@CFarmeur @mirror_protocol @SpecProtocol @terra_money @TerraBitesPod Pas d'impermanent loss sur mSLV-UST ?,2021-11-14T22:40:34.000Z,238275689
1459571478983331851,1348715494791147529,0,0,4,0,1460013912082960389,@sjpark_TFL @terra_money @zepeto_official @terra_bots_io @galactic_punks @LunaBulls @DerbyStars_HQ @DeviantsNFT Really excited! https://t.co/aH2OnAW4F1,2021-11-14T22:36:57.000Z,1357085989202661376
1460013341837979648,,0,0,1,0,1460013341837979648,Another @terra_money #POL coin https://t.co/aAq5gwQXQe,2021-11-14T22:34:41.000Z,1272763606124261376
1460012243983257608,,0,0,2,0,1460012243983257608,"$UST 5B relentlessly keep going to catch $DAI

$LUNA @terra_money https://t.co/pAqii8nSog",2021-11-14T22:30:19.000Z,857153885487734785
1460012243903520778,,0,0,0,0,1460012243903520778,Entering a New Metaverse on @terra_money blockchain with #TerraBots #terrabots #metaverse #LUNAtics,2021-11-14T22:30:19.000Z,1387750653062156293
1459955854220742656,2445396642,0,0,0,0,1460012099787235330,@Okcoin @terra_money $Ridge 💰💰 https://t.co/sdQE0IlBW1,2021-11-14T22:29:44.000Z,1459191091438178307
1459997808983896067,985407854822617088,0,2,0,0,1460010741914902531,@AlphaSeeker21 @terra_money I wonder why $LUNA price doesn’t go up,2021-11-14T22:24:21.000Z,1357249692099313665
1459997808983896067,985407854822617088,0,1,0,0,1460009521720352770,"@AlphaSeeker21 @terra_money hi ser, can I slid in your DMs?",2021-11-14T22:19:30.000Z,823424865076056066
1459973266739585024,1381887820206206986,0,0,0,0,1460007640977846282,@pylon_protocol @terra_money @limowooj @wengzilla @TerraBitesPod Keep up the hard work,2021-11-14T22:12:01.000Z,2919973098
1459891340011970562,1379267996305137666,0,0,0,0,1460007323187830785,"@terraworldme What's going on?
@terra_money",2021-11-14T22:10:46.000Z,420122012
1459973266739585024,1381887820206206986,0,1,0,0,1460004592557690883,"@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Wow is that almost 5 dollars total?
I just had 4 ens drops gonna how to try harder to wow me lol",2021-11-14T21:59:55.000Z,1441232141547819011
1459927074295070722,257846146,0,0,2,0,1460003503263256579,@Speicherx @GabrielGFoo @astroport_fi @terra_money We all love Msia. 🇸🇬🇲🇾,2021-11-14T21:55:35.000Z,591800449
1459997808983896067,985407854822617088,0,0,0,0,1460002680835768322,@AlphaSeeker21 @terra_money How much are we burning again?,2021-11-14T21:52:19.000Z,910264927209660416
1459751675263135745,1355366118119108612,0,0,0,0,1460001479297683459,@Cephii1 @investvoyager @anchor_protocol Totally. If @investvoyager partners with @terra_money it will be difficult for any exchange to compete. We shall see,2021-11-14T21:47:32.000Z,1343384987798622208
1459997808983896067,944649491361161216,0,0,2,0,1460001178545131520,@itsmebutterz @AlphaSeeker21 @terra_money Because the growth is not organic. Yet.,2021-11-14T21:46:21.000Z,1165245871979548673
1460000590277353488,,0,0,1,0,1460000590277353488,"Best @terra_money tl;dr meme 👌 

$UST &amp; $LUNA https://t.co/BAtZK9eqwM",2021-11-14T21:44:00.000Z,1367019754066751489
1459999347056291843,1084397942319054850,0,0,6,0,1460000587895001091,"@Route2FI Oh, $UST is and @terra_money is one thing that I never worry about. Just stack more $LUNA errday",2021-11-14T21:44:00.000Z,1337506603898204163
1459994552601821187,1362475747559038978,0,0,3,0,1460000415534178316,@danku_r @FreyaJane89 @astroport_fi @terra_money @prism_protocol Good luck on that one…,2021-11-14T21:43:19.000Z,1953841016
1459794120264744962,1395592077925183499,0,0,0,0,1460000388459810818,@Terrians_ @loop_finance @archon_0x @Josephliow @SmartStake @terra_money @sjpark_TFL @AlphaSeeker21 @martecloud @LunaCpt Have you ever tried to use LOOP? Its UX is so bad that the numbers cant make up for it,2021-11-14T21:43:12.000Z,90264239
1459994552601821187,1372493811696422912,0,1,9,0,1460000166052868099,@FreyaJane89 @Remi_Tetot @astroport_fi @terra_money me picking up @prism_protocol soon https://t.co/jsb2bknDgQ,2021-11-14T21:42:19.000Z,1362475747559038978
1459995614691807236,1414212384609157121,0,0,8,0,1460000125200314371,"@lunaairdrops @stablekwon Best @terra_money tl;dr meme 👌 

$UST &amp; $LUNA",2021-11-14T21:42:09.000Z,1367019754066751489
1459994552601821187,1953841016,0,0,1,0,1460000114370560007,"@Remi_Tetot @danku_r @astroport_fi @terra_money Thankfully in the meta-verse we'll just be able to wander around in our NFT's and let Zuckerberg make our life decisions for us....

😅",2021-11-14T21:42:07.000Z,1372493811696422912
1459994552601821187,1953841016,0,1,8,0,1459999738137399296,"@Remi_Tetot @FreyaJane89 @astroport_fi @terra_money Me too, haha :) we need more blockchain thrillers to read. What about this title:

""Remi and the lite whitepapers: Infinity War!""",2021-11-14T21:40:37.000Z,1362475747559038978
1459997808983896067,985407854822617088,0,1,0,0,1459999718692376580,@AlphaSeeker21 @terra_money how come $LUNA not mooning?,2021-11-14T21:40:33.000Z,944649491361161216
1459994552601821187,1362475747559038978,0,1,2,0,1459999648978984960,"@danku_r @Remi_Tetot @astroport_fi @terra_money yeah we just watch Danku analogies on Cow farming.

""Tree grow up."" 

Good enough for me.

👩🌾👨🌾",2021-11-14T21:40:16.000Z,1372493811696422912
1459746729226502144,1406995344483704832,0,0,0,0,1459999451112738816,"@TerraLUNADaily @TeamKujira @terra_money 20% of tokens to team with a 2/18 schedule...nah, thanks",2021-11-14T21:39:29.000Z,1169221237547130880
1459994552601821187,535662615,0,0,2,0,1459999362839457795,"@TheMoonMidas @Remi_Tetot @astroport_fi @terra_money ""lite""paper

shame they didn't tease us with the full volumes lol 🤯🤣",2021-11-14T21:39:08.000Z,1372493811696422912
1459996398829531136,1224462477594939393,0,0,0,0,1459999324989890564,@isfreenow @anchor_protocol @stablekwon @terra_money Le go!,2021-11-14T21:38:59.000Z,1401051559945932800
1459778685331025928,1324803229088141324,0,0,1,0,1459999142168641540,@essi013655 @terra_bots_io Wallet Terra Station @terra_money,2021-11-14T21:38:15.000Z,2180593397
1459994552601821187,1362475747559038978,0,3,14,0,1459999054683848708,"@danku_r @FreyaJane89 @astroport_fi @terra_money Thats why they all crave your videos 😂

I am old school though, digested 100 of white-papers this year",2021-11-14T21:37:54.000Z,1953841016
1459994552601821187,1372493811696422912,0,2,8,0,1459998726164996099,@FreyaJane89 @Remi_Tetot @astroport_fi @terra_money who reads nowadays? 😂,2021-11-14T21:36:36.000Z,1362475747559038978
1459994552601821187,1372493811696422912,0,0,2,0,1459998505834061836,@FreyaJane89 @astroport_fi @terra_money I never said it was going to be easy 😂,2021-11-14T21:35:43.000Z,1953841016
1459994552601821187,1953841016,0,0,0,0,1459998310958256133,@Remi_Tetot @astroport_fi @terra_money Do you get the tokens from any current staking airdrop?,2021-11-14T21:34:57.000Z,1369378543373869066
1459927074295070722,206004862,0,0,0,0,1459998299700834312,@GabrielGFoo @astroport_fi @terra_money wen launch? next spring?,2021-11-14T21:34:54.000Z,805690280
1459981489609846784,1025795725895057409,0,1,2,0,1459998142963884039,"@Chinoman10_ @wencol5 @terra_money well, it's good content at start, but just go to solana site and see, how they're promoting developing in their ecosystem. Terra has a lot to do in that space",2021-11-14T21:34:17.000Z,744293077037256704
1459997808983896067,,24,7,199,0,1459997808983896067,"$UST at 5 Billion MC. 

Halfway there to double digit billion dollar market cap. 

7 more weeks left until end of year. 

$UST is the single most important product in the @terra_money ecosystem. 

It’s time to really work the money printing machine in overdrive!💸💰",2021-11-14T21:32:57.000Z,985407854822617088
1459994552601821187,258124973,0,0,6,0,1459997786863288327,"@CryptoMadTweets @astroport_fi @terra_money This one is different 3 ways to get access, read through their mediums",2021-11-14T21:32:52.000Z,1953841016
1459974459935264770,1078389030,0,0,1,0,1459997631502073873,@RealNatashaChe Amazing thread as always! Just for the record people are definitely paying for “real life” stuff with TerraUSD or #UST. Check out @kashdefi @alice_finance and Chai on @terra_money plus @kado_money and many more I’m probably missing @stablekwon,2021-11-14T21:32:15.000Z,1446767465535614980
1459996398829531136,1401051559945932800,0,1,1,0,1459997411133251588,@Phildeez7 @anchor_protocol @stablekwon @terra_money Great! You changed their lifes forever. I'm on the same mission bro.,2021-11-14T21:31:22.000Z,1224462477594939393
1459973266739585024,1117986517358538752,0,1,0,0,1459996774307930123,"@FuriousCuriosi1 @pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Already tried out literally everything - terradrops doesnt work for me for no reason either, so im just gna wait I guess lol",2021-11-14T21:28:51.000Z,904813375301050368
1459996398829531136,,0,1,3,0,1459996398829531136,"Just completed the fourth #normie onboarding in two weeks. They are coming...It is inevitable.  $ANC is the key.

@anchor_protocol @stablekwon @terra_money 
#Terra $Luna $UST https://t.co/tf9W79dLxh",2021-11-14T21:27:21.000Z,1401051559945932800
1459973266739585024,1381887820206206986,0,1,2,0,1459996183921844226,@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money I was going to give up hope.  Hadnt heard. Great timing thx,2021-11-14T21:26:30.000Z,20511127
1459994552601821187,1372493811696422912,0,1,3,0,1459996140905144324,@FreyaJane89 @Remi_Tetot @astroport_fi @terra_money Litepaper*,2021-11-14T21:26:20.000Z,535662615
1459994552601821187,1953841016,0,3,9,0,1459995794820456457,@Remi_Tetot @astroport_fi @terra_money Remi the white paper is just enormous!!!,2021-11-14T21:24:57.000Z,1372493811696422912
1459994552601821187,1953841016,0,0,2,0,1459995571956166664,@Remi_Tetot @astroport_fi @terra_money Love that the „litepaper“ is a 31min read  $Astro https://t.co/yH1zjAbSwc,2021-11-14T21:24:04.000Z,227382989
1459738341117624321,1451245024478470144,0,0,0,0,1459994911110008834,"@JayHao8 @anchor_protocol @stablekwon @terra_money Or please, pretty please get ust listed on binance its better then the comp anyway",2021-11-14T21:21:26.000Z,1451245024478470144
1459994552601821187,1953841016,0,3,0,0,1459994712782348294,@Remi_Tetot @astroport_fi @terra_money Is it even possible to get on a presale list or something ? Never have luck with these things.,2021-11-14T21:20:39.000Z,258124973
1459994552601821187,,16,11,179,0,1459994552601821187,"Imagine understanding ahead what beast would Uniswap become And being able to be early on it!

Here is your chance with @astroport_fi a new generation of AMM coming to @terra_money 

DYOR it is worth your time.",2021-11-14T21:20:01.000Z,1953841016
1459254570706558979,1452725784255336450,0,3,0,0,1459992684454715394,@Osmosis_MD @terra_money @osmosiszone How to pool Luna.? Works off Terra wallet or need to move Luna to kepler,2021-11-14T21:12:35.000Z,1357421194174230528
1459973266739585024,1381887820206206986,0,2,5,0,1459991339752476679,"@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Wen? The airdrops would be claimable this week. 
On the latest moment the community is informed that the team is still building, but you cannot give an estimated time for the airdrop.

You should be ashamed. Confidence of the community is one of the greatest goods! Think about it",2021-11-14T21:07:15.000Z,632272628
1459000784167735297,1444665981658271750,0,0,0,0,1459990702486548480,@Straterra97 @Stratos_Network @SaitoOfficial @terra_money What about qanx?,2021-11-14T21:04:43.000Z,1445081589973590017
1459973266739585024,1381887820206206986,0,1,1,0,1459990636044632066,"@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Brilliant addition, I was concerned that I wouldn't be able to track my Airdrops as I only discovered the Psi drop by accident and that was a generous amount! Keep up the great work.",2021-11-14T21:04:27.000Z,19378798
1459833950684291072,1395293111476277248,0,0,1,0,1459990009012899842,@TerraPico_ust @terra_money But they are so cute!,2021-11-14T21:01:58.000Z,1401051559945932800
1459983230602551307,18620050,7,1,41,1,1459987430740795398,"@JoshGoodbody I’ll take 

wen @binance 
wen @coinbase 
and
wen native @terra_money assets

For $1000 $UST

$LUNA $ANC",2021-11-14T20:51:43.000Z,392688212
1459973266739585024,1381887820206206986,0,1,10,0,1459987288717504515,"@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money Thank you for the update. We all know you said airdrops gonna happen this week and looks like it just didn’t materialize (which of course happens)

But this kind of update makes HUUUGE difference. Keep up the good work!",2021-11-14T20:51:09.000Z,1375019949299761152
1457648051233820672,1006055524666826754,0,0,0,0,1459987112325828609,"@harmonyprotocol @DefiKingdoms @solana @DappRadar @SushiSwap @terra_money @avalancheavax Toucan(Polygon) made a HRC20 Token. It is tradable on DefiKingdoms!

DefiKingdoms:https://t.co/FPdKEDSiVO

Website: https://t.co/0uDE5O53Ns
Twitter: https://t.co/TMBv3EDAcr",2021-11-14T20:50:27.000Z,1350151580255981569
1459977122739589121,1444219682706296834,0,0,0,0,1459987023440269317,@COL_NFT @FynnToTheMoon One more for the list @NicolasFlamelX @TheMoonMidas @TerraLUNADaily @terra_money #LUNAtics $luna,2021-11-14T20:50:06.000Z,17812653
