author_id,text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,created_at,in_reply_to_user_id,conversation_id
1268305882384924678,@TheMoonMidas @terra_money The very simple reason UST is the only right answer LT is because of the volatility of Luna. Imagine if the US dollar swings 20% weekly and trying to time purchases. The current NFT market outside of Terra is respectfully not mature yet,0,0,0,0,1448716419684777984,2021-10-14T18:24:44.000Z,535662615,1448408430205677569
1445684243120549892,@Tarran008 @randomearth_io @LunaNFTanalysis @LunaBulls @galactic_punks @terra_money We announced our arrival on Monday and the journey has only just begun. 🍻,1,1,3,0,1448716369005060098,2021-10-14T18:24:32.000Z,849368232,1447550648174530562
1349681515643416576,@binance @BinanceAcademy @terra_money Can you explain why we can withdraw luna on binance...?,0,3,2,0,1448715687921340418,2021-10-14T18:21:50.000Z,877807935493033984,1448445999073083397
1441764866713288708,@UnstablesTerra @terra_money I think it should turn into DAO rarity !!,0,0,0,0,1448714758312677382,2021-10-14T18:18:08.000Z,1446062748438343682,1446556525389094916
849368232,@crunks_nft @randomearth_io @LunaNFTanalysis @LunaBulls @galactic_punks @terra_money Just found your nft project. Will check out the discord. How late am I to the community 😬??,0,1,1,0,1448714660212092930,2021-10-14T18:17:45.000Z,1445684243120549892,1447550648174530562
292055156,@UnstablesTerra @terra_money They should turn into animated celebrities with rare features,0,0,0,0,1448714526405402626,2021-10-14T18:17:13.000Z,1446062748438343682,1446556525389094916
1435637300629671938,"8. Given the value that the @terra_money project provides, and given the significance of its most recent Columbus 5 update, we have a positive long-term outlook for the future of the project!",0,1,19,0,1448714372671426573,2021-10-14T18:16:36.000Z,1435637300629671938,1448714344569597956
1435637300629671938,"6. @terra_money has a fantastic community of solid supporters/believers, which drive its future growth. E.g., our last thread about the Columbus 5 update (https://t.co/TqyrQnAQse) was 72x retweeted even though we are relatively new to the community. Thanks for the warm welcome!",0,1,18,0,1448714363154550792,2021-10-14T18:16:34.000Z,1435637300629671938,1448714344569597956
1435637300629671938,"5. @terra_money's Chai payment system has already millions of users and processes $billions in transactions each year. It is expected to grow as the project expands to countries beyond South Korea, such as Singapore, Thailand and Taiwan!",0,1,19,0,1448714360885448704,2021-10-14T18:16:34.000Z,1435637300629671938,1448714344569597956
1435637300629671938,"4. @terra_money 's coins differ significantly from other stable coins. For example, rather than being backed by non-crypto bank deposits, such as risky commercial papers and inflationary cash deposits, they are backed by the $Luna token, the 12th largest crypto asset globally!",0,1,20,0,1448714358670778368,2021-10-14T18:16:33.000Z,1435637300629671938,1448714344569597956
1435637300629671938,"3. The best way to think of @terra_money is as a fully digital, decentralized financial institution with its own central reserve. Its customers can earn interest on their assets, spend them through its payment system, and even invest in synthetic stocks!",0,1,16,0,1448714356363972609,2021-10-14T18:16:33.000Z,1435637300629671938,1448714344569597956
1435637300629671938,"2. @terra_money's $LUNA has grown more than 50x since the beginning of this year and still has a great future ahead, given the rising demand for stable coins and financial services in the #DeFi space.",3,1,26,0,1448714354069688332,2021-10-14T18:16:32.000Z,1435637300629671938,1448714344569597956
1435637300629671938,"1. Last week, many celebrated the 50th birthday of the internet. Although the internet is now widely accepted, it was not always the case. The same applies to the crypto market! Do not listen to the nay-sayers; look at the feasibility of the @terra_money   project! #DeFi #crypto https://t.co/TdsiLLFd09",1,1,21,0,1448714351368544257,2021-10-14T18:16:31.000Z,1435637300629671938,1448714344569597956
1435637300629671938,"Due to a tighter regulatory environment, some wonder if investing in the @terra_money project is worth it. This 🧵(and our sketch:) will hopefully debunk some of the myths that float around many media channels and explain why we are very bullish about the $Luna token! https://t.co/4a3d6mcYVM",55,5,184,4,1448714344569597956,2021-10-14T18:16:30.000Z,,1448714344569597956
2445820024,@AnotherSapien_ @FomoNorm @chaintripping @danielesesta @terra_money With the amount of new projects being launched on Terra we should get to 10b not sure if this year or 2022,0,0,0,0,1448713785074536449,2021-10-14T18:14:16.000Z,1104350111130218498,1448590478593626112
1425979487506755585,@gemhost @thekwoonies @terra_money Thank you so much for this GA! 🍀🍀🙏🙏😇😇,0,0,0,0,1448713782457356288,2021-10-14T18:14:16.000Z,3306286357,1448249661593047048
1249650090559582208,@CephalopodEquip @terra_money @likecoin @InjectiveLabs @cosmos Well noted! We should account for the growing number of chains so it’s not confusing for our Cosmos people. The whole design thing might change because of that,0,0,6,0,1448713778368024583,2021-10-14T18:14:15.000Z,1170219259701710849,1448711546310438919
898731319,@danku_r @terra_money @LunaBulls @galactic_punks @terraterrapins We all Waiting for a reply @LunaBulls @galactic_punks @terraterrapins …,0,0,0,0,1448713513665548292,2021-10-14T18:13:12.000Z,1362475747559038978,1448595452673265667
1392576433063530496,"@ErikVoorhees @terra_money @cosmos The Global Market Cap at 2.40T ⚡️☕🚀

Buy Hold Earn &amp; Save American 🚀
#shibmerican #BTC #Ethereum
#Metamask #DEFLATIONARY
https://t.co/2KCa6uzUJQ",0,0,0,0,1448712011555110914,2021-10-14T18:07:13.000Z,61417559,1448694789302460417
1443167812512538633,@BTC_NFT @terra_money This will give us huge profit 🤩,0,0,0,0,1448711753005772807,2021-10-14T18:06:12.000Z,1286249381155479553,1448608287172136960
395074360,"@ColinTCrypto @terra_money @terra_money_ita @lunaairdrops @NicolasFlamelX @nachodonUST @orbital_command Give me some Luna please, I will send you back double!",0,1,1,0,1448711713461833733,2021-10-14T18:06:02.000Z,2798106727,1445015797303230465
1170219259701710849,"The #IBCgang is growing and now almost too big for one page on @MapOfZones! 

With the recent additions of @terra_money, @likecoin and @InjectiveLabs the @cosmos internet of blockchains is now up to 18 sovereign chains connected through #IBC. https://t.co/brAKm4kP16",35,3,154,8,1448711546310438919,2021-10-14T18:05:23.000Z,,1448711546310438919
899854174761795585,@Jamesmgrover @terra_money @nashsocial is coming on Q4 with on and off ramp. Just for europe thought,0,1,0,0,1448711494435164165,2021-10-14T18:05:10.000Z,1431974997640286209,1448685186623889411
1039463642540986368,@TheMoonMidas @terra_money I'm pro choice - they should be priced in either I feel,0,0,0,0,1448710692106903557,2021-10-14T18:01:59.000Z,535662615,1448408430205677569
