text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id,conversation_id,author_id,created_at,id
"@TerraLUNADaily @staderlabs @CoinList seriously @staderlabs ??
in coinlist ?! and can't pay in $UST and $LUNA 
not cool
NGMI
@terra_money provide 100% of your TVL don't forget https://t.co/Go8Mza8xZs",0,1,3,0,1406995344483704832,1482054687251910657,1397043227350290433,2022-01-14T18:47:21.000Z,1482061794038673410
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI @tombfinance @beefyfinance @DefiantNews @MIM_Spell I'm getting the feeling that the evolution of #DeFi and stablecoins is far from over - we’ve just seen the basic building blocks of a CRAZY future :)
 
Education &amp; DYOR skills will unlock your access to it. 💪🤓🍀",0,2,1,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:46:41.000Z,1482061626085937161
@iii_OIO_iii @terra_money I'm cool 😎 and tagging my two cool buddies @mhod_saad @moontheriego,0,0,1,0,1276528724318588929,1481778879882842112,1187407384450199552,2022-01-14T18:46:00.000Z,1482061453503123457
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI @tombfinance @beefyfinance @DefiantNews Don’t even get me started on the Degenbox @MIM_Spell…

VERY degen, VERY complex, VERY innovative
⏩#DYOR #NFA

https://t.co/Od3Tu3pRSA",0,1,0,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:45:09.000Z,1482061240939778049
".@vertex_protocol is a DeFi protocol built on-top of the @terra_money blockchain with a mission to bring real-world money markets and genuine financial products on-chain.

Now hiring remote!

⚡ Frontend Engineer

Apply now 👇
https://t.co/HJyyROXu2y",16,3,54,0,,1482061104256004098,919314949909958658,2022-01-14T18:44:37.000Z,1482061104256004098
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI @tombfinance @beefyfinance moving on, I think my next dive will take me into the @terra_money ecosystem.

Watch this video by @DefiantNews - a stable yield of 20% on stablecoins...
 
R. 
U. 
kidding me?! 😱😄
 
this almost feels like a case of too good to be true^^
 
https://t.co/MogCdSsncJ",0,1,1,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:43:48.000Z,1482060901205389328
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI @tombfinance @beefyfinance Don’t tell your frens - you’ll have to share the gainz^^
🤫",0,1,1,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:42:48.000Z,1482060649878458370
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI @tombfinance @beefyfinance still degen but a weeee bit less crazy:
-35% on $TUSD
-13.8% on $WBTC
-10% on $ETH
...
all using @beefyfinance on the @FantomFDN chain.
💪😎",0,1,1,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:42:23.000Z,1482060543800320002
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI my fav strategy is (also) farming $FTM - $TOMB using @tombfinance and @beefyfinance.
 
But: it's definitely total degen stuff, I've seen algo stablecoins gone to s**t before, so definitely need to do more research on why this one could survive medium to long term.. 🤓☝️
#NFA!",0,2,2,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:41:21.000Z,1482060283019505664
@perpprotocol @avalancheavax @solana @terra_money All 3 ser pls,0,0,2,0,1231831448509829121,1481989697094225921,1449165509249798144,2022-01-14T18:40:51.000Z,1482060158234681346
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI after taking a closer look, I realized @FantomFDN is the 10th chain I'm using! 🥳
 
it does indeed get easier to move around after having used several other chains... esp compared with my experience in the very beginning, feeling lost &amp; scared like a lil lamb in the dark forest^^",0,1,1,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:40:24.000Z,1482060044321579010
"@FantomFDN @terra_money @LooksRareNFT @versumofficial I've had @FantomFDN on my mind for a while, but was to busy/ lazy to start using it...
 
Now, after reading this exciting thread by Master Degen @Route2FI I couldn't resist^^
https://t.co/gQ5q3mQceO",0,1,1,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:38:35.000Z,1482059588333670403
@thegalacticdao @terra_money @Speicherx @Remi_Tetot @iii_OIO_iii @IcedKnife @PeterTheTerran @MonkeDAO @TerraBitesPod @NicolasFlamelX No doubt that the GP DAO are absolute shipooooors. Well done to all involved 🤝,0,0,10,0,1481293873926348800,1482024988748230662,1326366156173824000,2022-01-14T18:38:06.000Z,1482059464249335813
"[Thread] My week in crypto 🤓
TL;DR:
-celebrating my No.10: @FantomFDN 
-considering my No.11: @terra_money 
-opensea competitor: @LooksRareNFT
-new marketplace on Tezos: @Versumofficial
 
🧵👇 https://t.co/GRvaK8myWB",1,1,2,0,,1482059387896225793,1158062700938899457,2022-01-14T18:37:48.000Z,1482059387896225793
@wagmimonkeez floor has more than doubled in the last 24 hours! 🚀  excited to invest into more @terra_money nfts!,0,0,0,0,1447568685569396737,1482059185781157892,1463571026202214405,2022-01-14T18:36:59.000Z,1482059185781157892
@crypto_condom @terra_money @fraxfinance @ConvexFinance @VotiumProtocol Love this strategy 🚀,0,0,0,0,1424441728770220037,1482031419811676161,1415846237950025728,2022-01-14T18:35:32.000Z,1482058817395429376
@seb3point0 @stablekwon @terra_money Ask him why he won’t do @joerogan or @lexfridman,0,0,0,0,15306082,1481696773697589248,3087982027,2022-01-14T18:35:29.000Z,1482058806544814084
"@LearnTHORChain @terra_money Yeah well, not when using a custodial stablecoin. Then there's no such thing as censorship resistance 😅",0,0,4,0,1456354717416583169,1481853222826381315,1103265595141775365,2022-01-14T18:32:51.000Z,1482058143316197389
What happened to floor price! Both monkeez &amp; kongz going nuts! Only 5 left under 60! @wagmimonkeez @terra_money https://t.co/Bl0IxpP9QV,0,0,1,0,,1482057633972785152,1376776185489723397,2022-01-14T18:30:49.000Z,1482057633972785152
